Date,Place,Opp,Result,TmScore,OppScore,FG,FGA,FG%,3PM,3PA,3P%,FTM,FTA,FT%,ORB,TRB,AST,STL,BLK,TOV,PF,FGOpp,FGAOpp,FG%Opp,3POpp,3PAOpp,3P%Opp,FTOpp,FTAOpp,FT%Opp,ORBOpp,TRBOpp,ASTOpp,STLOpp,BLKOpp,TOVOpp,PFOpp,Team
2021-02-11,1,Oregon State,W,70,61,20,50,0.4,7,18,0.389,23,34,0.676,14,45,15,2,3,13,12,24,64,0.375,7,23,0.304,6,10,0.6,9,31,8,7,4,5,26,arizona
2021-02-13,1,Oregon,L,61,63,22,57,0.386,9,23,0.391,8,11,0.727,7,26,17,2,2,5,11,25,55,0.455,7,20,0.35,6,11,0.545,11,31,10,2,2,7,16,arizona
2021-02-18,0,UCLA,L,60,74,21,50,0.42,4,16,0.25,14,20,0.7,8,32,9,2,4,16,14,32,60,0.533,4,15,0.267,6,9,0.667,5,31,9,9,1,7,18,arizona
2021-02-20,0,USC,W,81,72,27,64,0.422,8,17,0.471,19,23,0.826,12,39,20,3,0,8,16,26,62,0.419,7,20,0.35,13,22,0.591,9,28,13,5,8,10,20,arizona
2021-02-25,1,Washington State,W,69,53,26,52,0.5,4,11,0.364,13,19,0.684,11,38,15,8,6,12,16,20,63,0.317,7,28,0.25,6,11,0.545,14,30,8,6,1,11,15,arizona
2021-02-27,1,Washington,W,75,74,23,63,0.365,8,28,0.286,21,24,0.875,12,40,14,6,3,9,17,25,51,0.49,6,22,0.273,18,24,0.75,2,27,11,4,3,13,22,arizona
2021-03-01,0,Oregon,L,69,80,24,53,0.453,8,23,0.348,13,19,0.684,6,28,16,3,4,9,18,25,55,0.455,12,22,0.545,18,22,0.818,8,32,13,4,2,7,15,arizona
2020-11-25,2,Rhode Island,W,94,88,27,61,0.443,6,20,0.3,34,46,0.739,13,35,9,7,4,12,26,29,56,0.518,9,18,0.5,21,35,0.6,7,33,14,8,2,16,29,arizona-state
2020-11-26,2,Villanova,L,74,83,26,60,0.433,10,28,0.357,12,21,0.571,2,24,8,5,4,9,22,28,58,0.483,8,24,0.333,19,27,0.704,9,41,10,6,0,11,19,arizona-state
2020-11-29,1,Houston Christian,W,100,77,36,66,0.545,12,27,0.444,16,24,0.667,7,29,21,9,4,11,19,24,61,0.393,12,29,0.414,17,21,0.81,11,35,17,6,3,23,22,arizona-state
